Seed|Collisions|Spread|Total
196|1255359|1014102.42246|2269461.42246
197|1255771|1016427.35367|2272198.35367
198|1256959|1017499.14211|2274458.14211
199|1253714|1013472.89066|2267186.89066
200|1255207|1015217.45816|2270424.45816
201|1256779|1016087.97429|2272866.97429
202|1255470|1015387.56146|2270857.56146
203|1255800|1015962.44565|2271762.44565
204|1253891|1015067.26359|2268958.26359
205|1256470|1015895.10509|2272365.10509
206|1255944|1016018.37238|2271962.37238
207|1257513|1017732.83237|2275245.83237
208|1257068|1017012.13237|2274080.13237
209|1256782|1017245.01158|2274027.01158
210|1256322|1016646.39284|2272968.39284
211|1255829|1017105.58739|2272934.58739
212|1256410|1016829.23344|2273239.23344
213|1256486|1017031.21159|2273517.21159
214|1254662|1015378.92946|2270040.92946
215|1257093|1017336.98222|2274429.98222
216|1255510|1016035.42808|2271545.42808
217|1257173|1017548.91023|2274721.91023
218|1254687|1015098.72905|2269785.72905
219|1255885|1015083.24830|2270968.24830
220|1256669|1017145.16464|2273814.16464
221|1255894|1015641.51372|2271535.51372
222|1255285|1015307.60817|2270592.60817
223|1257294|1016845.83569|2274139.83569
224|1255440|1016268.76650|2271708.76650
225|1256690|1015890.96392|2272580.96392
226|1257264|1016461.89167|2273725.89167
227|1255083|1015198.61300|2270281.61300
228|1256633|1016665.24780|2273298.24780
229|1254728|1014908.83758|2269636.83758
230|1255867|1015372.27681|2271239.27681
231|1255766|1016311.43041|2272077.43041
232|1257112|1016331.92440|2273443.92440
233|1255981|1016430.32426|2272411.32426
234|1256032|1016465.16799|2272497.16799
235|1256560|1016715.27978|2273275.27978
236|1255922|1016323.50662|2272245.50662
237|1255961|1016325.44701|2272286.44701
238|1254748|1014696.72551|2269444.72551
239|1255884|1017727.60452|2273611.60452
240|1255459|1015558.46897|2271017.46897
241|1257757|1016995.68989|2274752.68989
242|1256149|1015409.16251|2271558.16251
243|1256611|1016774.05044|2273385.05044
244|1256390|1015976.17404|2272366.17404
245|1255797|1016784.43247|2272581.43247
246|1257506|1017286.86125|2274792.86125
247|1255802|1016365.55047|2272167.55047
248|1255979|1017258.62826|2273237.62826
249|1256219|1016044.24120|2272263.24120
250|1255629|1016167.55869|2271796.55869
251|1256254|1016969.30508|2273223.30508
252|1255217|1015848.66499|2271065.66499
253|1257661|1018020.77916|2275681.77916
254|1256413|1017589.44873|2274002.44873
255|1255045|1014591.45677|2269636.45677
256|1253180|1014721.22842|2267901.22842
257|1255484|1015789.45909|2271273.45909
258|1256550|1018735.33456|2275285.33456
259|1256716|1016749.18370|2273465.18370
260|1255574|1016133.55508|2271707.55508
261|1255976|1016249.46129|2272225.46129
262|1257128|1016612.95392|2273740.95392
263|1254507|1015835.02446|2270342.02446
264|1255845|1016763.37649|2272608.37649
265|1255797|1016865.35729|2272662.35729
266|1256587|1016980.24799|2273567.24799
267|1255071|1015754.41714|2270825.41714
268|1253831|1014298.94747|2268129.94747
269|1254830|1013887.47289|2268717.47289
270|1256524|1017199.31451|2273723.31451
271|1256582|1015294.89686|2271876.89686
272|1256896|1016163.89030|2273059.89030
273|1256827|1016491.97235|2273318.97235
274|1255932|1016032.18387|2271964.18387
275|1255587|1015870.65654|2271457.65654
276|1254911|1014747.58446|2269658.58446
277|1257012|1017071.03615|2274083.03615
278|1255297|1016362.58858|2271659.58858
279|1256511|1016431.11486|2272942.11486
280|1256647|1016704.16273|2273351.16273
281|1255384|1015843.58788|2271227.58788
282|1257442|1018021.09618|2275463.09618
283|1255116|1015975.78492|2271091.78492
284|1256108|1015607.21452|2271715.21452
285|1255750|1016205.51838|2271955.51838
286|1254384|1015679.08276|2270063.08276
287|1256205|1016291.31575|2272496.31575
288|1256046|1016721.35035|2272767.35035
289|1254291|1015488.95643|2269779.95643
290|1256451|1017327.41477|2273778.41477
